model_height(k)=ζ(k)+terrain_height*f(k)

k ζ(k)         f(k)
1 1.000000E+01 1.000000E+00
2 3.227384E+01 9.999999E-01
3 5.914730E+01 9.999994E-01
4 9.072427E+01 9.999979E-01
5 1.271086E+02 9.999940E-01
6 1.684043E+02 9.999862E-01
7 2.147150E+02 9.999713E-01
8 2.661448E+02 9.999454E-01
9 3.227975E+02 9.999026E-01
10 3.847770E+02 9.998350E-01
11 4.521872E+02 9.997323E-01
12 5.251319E+02 9.995807E-01
13 6.037151E+02 9.993631E-01
14 6.880406E+02 9.990575E-01
15 7.782122E+02 9.986367E-01
16 8.743340E+02 9.980677E-01
17 9.765097E+02 9.973101E-01
18 1.084843E+03 9.963155E-01
19 1.199439E+03 9.950266E-01
20 1.320400E+03 9.933760E-01
21 1.447830E+03 9.912854E-01
22 1.581834E+03 9.886646E-01
23 1.722515E+03 9.854112E-01
24 1.869977E+03 9.814098E-01
25 2.024324E+03 9.765325E-01
26 2.185660E+03 9.706395E-01
27 2.354089E+03 9.635804E-01
28 2.529714E+03 9.551964E-01
29 2.712640E+03 9.453244E-01
30 2.902971E+03 9.338004E-01
31 3.100809E+03 9.204664E-01
32 3.306260E+03 9.051769E-01
33 3.519427E+03 8.878070E-01
34 3.740414E+03 8.682615E-01
35 3.969325E+03 8.464833E-01
36 4.206264E+03 8.224623E-01
37 4.451333E+03 7.962421E-01
38 4.704639E+03 7.679251E-01
39 4.966284E+03 7.376742E-01
40 5.236372E+03 7.057109E-01
41 5.515007E+03 6.723099E-01
42 5.802293E+03 6.377900E-01
43 6.098334E+03 6.025015E-01
44 6.403234E+03 5.668119E-01
45 6.717097E+03 5.310909E-01
46 7.040026E+03 4.956956E-01
47 7.372125E+03 4.609574E-01
48 7.713499E+03 4.271715E-01
49 8.064251E+03 3.945894E-01
50 8.424484E+03 3.634147E-01
51 8.794305E+03 3.338021E-01
52 9.173814E+03 3.058587E-01
53 9.563117E+03 2.796479E-01
54 9.962318E+03 2.551938E-01
55 1.037152E+04 2.324875E-01
56 1.079083E+04 2.114930E-01
57 1.122035E+04 1.921527E-01
58 1.166018E+04 1.743933E-01
59 1.211042E+04 1.581305E-01
60 1.257119E+04 1.432728E-01
61 1.304258E+04 1.297257E-01
62 1.352470E+04 1.173936E-01
63 1.401766E+04 1.061825E-01
64 1.452155E+04 9.600113E-02
65 1.503648E+04 8.676250E-02
66 1.556255E+04 7.838436E-02
67 1.609988E+04 7.078970E-02
68 1.664855E+04 6.390696E-02
69 1.720868E+04 5.767003E-02
70 1.778037E+04 5.201817E-02
71 1.836372E+04 4.689582E-02
72 1.895884E+04 4.225229E-02
73 1.956584E+04 3.804151E-02
74 2.018480E+04 3.422167E-02
75 2.081585E+04 3.075492E-02
76 2.145908E+04 2.760707E-02
77 2.211460E+04 2.474723E-02
78 2.278250E+04 2.214753E-02
79 2.346291E+04 1.978286E-02
80 2.415591E+04 1.763062E-02
81 2.486161E+04 1.567041E-02
82 2.558012E+04 1.388391E-02
83 2.631154E+04 1.225459E-02
84 2.705597E+04 1.076758E-02
85 2.781352E+04 9.409500E-03
86 2.858429E+04 8.168279E-03
87 2.936839E+04 7.033051E-03
88 3.016592E+04 5.994017E-03
89 3.097698E+04 5.042345E-03
90 3.180168E+04 4.170064E-03
91 3.264012E+04 3.369982E-03
92 3.349240E+04 2.635600E-03
93 3.435864E+04 1.961047E-03
94 3.523892E+04 1.341016E-03
95 3.613337E+04 7.707026E-04
96 3.704207E+04 2.457597E-04
